ano,rodada,time_casa,time_fora,gcasa,gfora
2003,11,vasco_rj,atletico_mg,2,2,
2003,11,corinthians_sp,vitoria_ba,4,0,
2003,11,pontepreta_sp,saocaetano_sp,0,0,
2003,11,coritiba_pr,guarani_sp,3,2,
2003,11,cruzeiro_mg,criciuma_sc,2,0,
2003,11,fluminense_rj,atletico_pr,2,1,
2003,11,inter_rs,paysandu_pa,2,1,
2003,12,flamengo_rj,cruzeiro_mg,3,0,
2003,12,guarani_sp,santos_sp,1,2,
2003,12,gremio_rs,fortaleza_ce,3,1,
2003,12,vitoria_ba,fluminense_rj,2,1,
2003,12,atletico_mg,figueirense_sc,1,1,
2003,12,saocaetano_sp,corinthians_sp,1,0,
2003,12,goiás_go,coritiba_pr,1,2,
2003,12,paysandu_pa,parana_pr,3,0,
2003,12,juventude_rs,vasco_rj,0,0,
2003,12,atletico_pr,pontepreta_sp,4,2,
2003,12,saopaulo_sp,bahia_ba,2,2,
2003,12,criciuma_sc,inter_rs,1,0,
2003,13,pontepreta_sp,guarani_sp,0,2,
2003,13,fluminense_rj,goiás_go,2,3,
2003,13,coritiba_pr,atletico_pr,2,0,
2003,13,corinthians_sp,saopaulo_sp,1,2,
2003,13,fortaleza_ce,paysandu_pa,1,2,
2003,13,parana_pr,juventude_rs,1,2,
2003,13,gremio_rs,inter_rs,0,0,
2003,13,bahia_ba,vitoria_ba,2,1,
2003,13,criciuma_sc,figueirense_sc,1,0,
2003,13,santos_sp,saocaetano_sp,0,1,
2003,13,cruzeiro_mg,atletico_mg,0,0,
2003,13,vasco_rj,flamengo_rj,1,2,
2003,14,bahia_ba,coritiba_pr,2,2,
2003,14,vasco_rj,criciuma_sc,2,0,
2003,14,atletico_mg,gremio_rs,3,2,
2003,14,inter_rs,parana_pr,2,1,
2003,14,saopaulo_sp,goiás_go,1,0,
2003,14,paysandu_pa,flamengo_rj,2,2,
2003,14,pontepreta_sp,corinthians_sp,3,3,
2003,14,saocaetano_sp,vitoria_ba,2,1,
2003,14,figueirense_sc,fortaleza_ce,2,2,
2003,14,juventude_rs,cruzeiro_mg,0,1,
2003,14,fluminense_rj,guarani_sp,5,2,
2003,14,atletico_pr,santos_sp,0,2,
2003,15,santos_sp,bahia_ba,4,0,
2003,15,fortaleza_ce,vasco_rj,0,1,
2003,15,gremio_rs,juventude_rs,1,4,
2003,15,coritiba_pr,saocaetano_sp,2,0,
2003,15,flamengo_rj,figueirense_sc,0,2,
2003,15,corinthians_sp,fluminense_rj,1,0,
2003,15,guarani_sp,saopaulo_sp,0,1,
