Posição,MinMedMax,Ano,Posição,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
9,med,1.33,2.83,4.42,5.92,7.33,8.58,10.08,11.58,13.0,14.5,15.67,17.25,18.33,19.58,21.5,22.67,24.08,25.42,26.83,28.25,29.5,30.58,32.08,33.58,35.58,36.67,37.92,39.5,40.67,42.75,43.58,45.08,46.92,48.08,49.25,50.58,51.83,53.5
9,max,3,3,6,7,8,9,12,13,15,16,17,19,20,20,23,24,25,27,28,30,31,33,33,35,37,39,41,43,43,45,46,47,50,51,52,54,55,56
10,min,1,2,3,5,6,7,9,9,12,13,14,15,16,18,18,21,22,23,25,26,28,29,30,31,31,33,34,35,37,40,40,42,43,45,46,48,49,50
10,med,1.0,2.83,4.08,5.67,6.83,8.33,9.42,10.92,12.67,14.0,15.08,16.5,17.67,19.25,20.17,21.58,23.25,24.33,25.75,27.0,28.75,30.08,31.25,32.83,34.33,35.67,36.83,38.5,39.75,41.83,42.83,44.33,45.5,47.33,48.33,49.42,50.42,52.0
10,max,1,3,5,6,7,9,10,12,14,16,17,19,19,20,22,23,24,25,27,28,30,32,33,35,36,39,40,42,43,44,45,47,48,51,51,52,53,54
11,min,1,2,3,5,6,7,8,9,11,13,13,14,16,17,18,20,21,22,24,25,27,28,30,30,31,32,33,35,37,38,40,41,42,44,45,46,47,48
11,med,1.0,2.83,3.92,5.25,6.42,7.83,9.0,10.42,12.0,13.5,14.58,15.67,17.08,18.42,19.67,21.0,22.58,23.5,25.0,26.25,27.83,29.25,30.67,32.08,33.5,34.75,36.0,37.42,38.58,40.58,41.33,43.0,44.17,45.5,46.83,48.0,49.17,50.83
11,max,1,3,4,6,7,9,10,11,13,15,16,17,19,20,22,22,24,25,27,28,29,31,32,34,36,39,39,39,41,42,42,45,46,48,48,49,52,54
12,min,0,2,3,4,6,7,8,9,10,11,12,13,15,16,17,18,20,22,23,24,26,27,28,29,30,31,32,34,35,37,37,40,41,42,43,46,46,47
12,med,0.83,2.67,3.83,4.75,6.08,7.58,8.42,9.92,11.42,12.75,13.75,14.83,16.17,17.58,18.83,20.25,21.5,23.08,24.08,25.67,27.08,28.33,29.58,30.67,32.42,33.67,34.42,36.0,37.42,38.92,40.33,41.92,43.08,44.67,45.5,47.25,48.25,49.25
12,max,1,3,4,6,7,8,9,11,13,14,15,17,18,19,21,22,24,25,26,27,28,30,31,33,36,36,37,39,40,41,42,44,46,47,48,49,51,54
13,min,0,2,3,4,5,7,7,8,9,11,11,13,14,15,16,17,20,21,23,24,25,26,26,28,29,29,30,33,33,35,36,38,39,40,40,43,44,45
13,med,0.75,2.5,3.25,4.25,5.75,7.17,8.33,9.58,10.67,12.33,13.33,14.5,15.67,17.08,18.08,19.42,20.58,22.33,23.58,25.08,26.25,27.58,28.58,29.92,31.08,32.33,33.42,35.25,36.33,38.08,39.0,40.58,41.58,42.67,44.33,45.42,46.58,48.08
13,max,1,3,4,5,6,8,9,11,13,13,15,17,17,18,19,22,23,23,26,27,27,30,31,32,33,35,37,38,40,41,41,43,44,46,47,48,51,53
14,min,0,1,2,3,5,6,7,8,8,10,10,12,13,15,16,17,18,20,22,23,24,24,25,26,29,29,30,32,33,34,34,36,37,38,39,42,43,44
14,med,0.33,1.58,2.92,4.08,5.33,6.83,7.92,8.92,10.42,11.75,12.83,14.0,14.92,16.17,17.5,18.67,20.0,21.33,22.75,23.83,25.42,26.42,27.67,28.92,30.25,31.0,32.75,34.25,35.17,36.42,37.33,38.83,40.08,41.58,42.75,44.5,46.0,46.92
14,max,1,3,4,5,6,7,9,10,13,13,14,17,17,18,19,21,23,23,25,26,27,28,30,32,32,33,34,36,37,39,40,43,43,44,46,48,51,51
15,min,0,1,1,3,4,5,6,8,8,8,10,11,13,14,15,15,16,19,19,21,23,23,24,26,27,28,29,30,30,31,34,35,36,36,39,40,43,43
15,med,0.08,1.17,2.75,3.92,4.92,6.42,7.25,8.42,9.67,10.58,12.0,13.5,14.5,15.42,17.0,17.92,19.17,20.5,21.5,22.75,24.08,25.33,26.42,28.08,29.0,30.25,31.92,32.83,33.58,34.58,36.08,37.33,38.42,39.25,41.33,42.5,44.0,45.42
15,max,1,3,4,5,6,7,8,9,11,12,14,16,17,18,18,21,23,23,24,25,27,28,28,30,31,33,34,35,36,38,40,43,43,43,43,46,46,49
16,min,0,0,1,3,4,5,6,7,8,8,9,10,13,13,14,14,16,16,17,20,21,22,23,25,26,26,28,28,30,31,32,34,35,35,38,39,39,40
16,med,0.0,0.92,2.33,3.5,4.42,5.67,6.92,8.08,9.0,10.08,11.08,12.5,14.17,14.92,16.0,16.92,18.5,19.25,20.33,21.83,23.08,24.58,25.67,26.92,28.08,29.08,30.42,31.5,32.5,33.5,34.42,35.67,36.92,38.17,39.67,40.92,42.42,43.75
16,max,0,1,3,4,5,6,8,9,10,11,13,16,16,18,18,20,22,23,24,24,25,27,28,30,31,32,33,34,35,37,38,41,41,41,42,44,45,46
17,min,0,0,1,2,3,4,5,6,7,7,8,10,11,12,13,13,15,16,16,16,19,20,21,23,24,25,26,27,27,27,30,32,33,34,37,38,38,38
17,med,0.0,0.92,1.58,3.0,4.0,5.0,6.42,7.58,8.17,9.25,10.58,11.5,12.92,13.92,14.67,15.92,17.08,18.17,19.08,20.67,22.08,22.83,24.33,25.58,26.67,27.75,29.25,29.92,30.58,31.75,33.33,34.08,35.25,36.58,38.33,39.5,41.0,42.17
17,max,0,1,3,4,5,6,7,9,9,11,13,15,16,17,18,19,19,22,22,23,24,25,27,29,30,31,33,33,34,37,38,38,41,41,41,42,44,45
18,min,0,0,1,1,2,3,3,4,6,7,7,8,9,10,12,12,13,15,16,16,17,19,20,21,22,23,25,26,26,26,29,31,31,33,33,34,34,34
18,med,0.0,0.83,1.25,2.33,3.42,4.5,5.25,6.42,7.58,8.58,9.33,10.42,11.42,12.75,13.75,14.67,15.67,17.0,18.0,19.33,20.75,22.17,23.25,24.08,25.17,26.33,27.5,28.5,29.67,30.08,31.92,32.5,34.0,34.67,35.75,37.17,38.83,39.33
18,max,0,1,2,3,4,6,7,8,9,10,11,12,14,14,16,17,17,20,20,21,23,25,26,27,28,30,31,33,34,34,35,35,37,38,41,41,43,44
19,min,0,0,0,1,1,1,2,3,4,4,7,7,8,9,10,11,12,14,15,15,16,17,19,20,20,22,22,22,23,23,23,24,27,27,27,28,30,30
19,med,0.0,0.5,0.92,1.5,2.58,3.58,4.42,5.08,6.17,7.25,8.25,9.0,10.25,11.5,12.58,13.08,14.0,15.58,16.5,17.58,18.58,20.08,21.17,22.17,22.83,24.25,25.0,25.67,27.25,27.83,29.42,30.0,31.25,32.25,33.33,34.5,35.42,36.0
19,max,0,1,2,3,4,6,6,7,8,9,10,11,12,13,15,15,16,18,20,20,22,23,24,26,27,28,28,29,31,32,34,35,35,35,38,39,39,41
20,min,0,0,0,0,1,1,1,1,2,2,5,5,8,8,8,8,9,9,10,10,10,10,10,10,11,11,12,13,16,16,16,16,16,16,17,17,17,17
20,med,0.0,0.0,0.5,1.0,1.5,2.42,3.17,3.67,4.42,5.67,6.75,7.58,9.0,9.33,10.17,11.17,12.08,12.42,13.33,14.08,14.92,16.0,16.58,17.67,19.0,20.58,21.75,22.25,23.08,23.75,24.5,25.08,25.67,26.83,27.83,28.17,28.67,28.92
20,max,0,0,1,3,3,4,5,6,8,8,9,9,10,12,13,14,16,17,18,18,18,21,22,23,23,26,27,29,29,30,30,30,31,31,34,34,35,36
